Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Zanthoxylum kellermanii,Zanthoxylum kellermanii,,1,Accepted,Zanthoxylum kellermanii,P. Wilson,Rutaceae,tropicos, ,
Quercus falcata,Quercus falcata,,1,Accepted,Quercus falcata,Michx.,Fagaceae,tropicos;usda, ,
Quercus hemispherica,Quercus hemisphaerica,,0.99,Accepted,Quercus hemisphaerica,W. Bartram ex Willd.,Fagaceae,tropicos, ,
Quercus incana,Quercus incana,,1,Accepted,Quercus incana,W. Bartram,Fagaceae,tropicos, ,
Quercus laurifolia,Quercus laurifolia,,1,Accepted,Quercus laurifolia,Michx.,Fagaceae,tropicos;usda, ,
Quercus laevis,Quercus laevis,,1,Accepted,Quercus laevis,Walter,Fagaceae,tropicos;usda, ,
Quercus myrtifolia,Quercus myrtifolia,,1,Accepted,Quercus myrtifolia,Willd.,Fagaceae,tropicos;usda, ,
Quercus nigra,Quercus nigra,,1,Accepted,Quercus nigra,L.,Fagaceae,tropicos;usda, ,
Quercus shumardii,Quercus shumardii,,1,Accepted,Quercus shumardii,Buckley,Fagaceae,tropicos;usda, ,
Quercus pumila,Quercus pumila,,1,Accepted,Quercus pumila,Walter,Fagaceae,tropicos;usda, ,
Quercus stellata,Quercus stellata,,1,Accepted,Quercus stellata,Wangenh.,Fagaceae,tropicos;usda, ,
Quercus margaretta,Quercus margarettiae,,0.97,Accepted,Quercus margarettiae,(Ashe) Small,Fagaceae,tropicos, ,
Quercus michauxii,Quercus michauxii,,1,Accepted,Quercus michauxii,Nutt.,Fagaceae,tropicos;usda, ,
Quercus austrina,Quercus austrina,,1,Accepted,Quercus austrina,Small,Fagaceae,tropicos;usda, ,
Quercus chapmanii,Quercus chapmanii,,1,Accepted,Quercus chapmanii,Sarg.,Fagaceae,tropicos;usda, ,
Quercus geminata,Quercus geminata,,1,Accepted,Quercus geminata,Small,Fagaceae,tropicos;usda, ,
Quercus minima,Quercus minima,,1,Accepted,Quercus minima,(Sarg.) Small,Fagaceae,tropicos;usda, ,
Quercus virginiana,Quercus virginiana,,1,Accepted,Quercus virginiana,Mill.,Fagaceae,tropicos;usda, ,
Arbutus andrachne,Arbutus andrachne,,1,No opinion,,,,tropicos, ,
Arbutus unedo,Arbutus unedo,,1,No opinion,,,,tropicos, ,
Quercus coccifera,Quercus coccifera,,1,No opinion,,,,tropicos, ,
Pistacia lentiscus,Pistacia lentiscus,,1,Accepted,Pistacia lentiscus,L.,Anacardiaceae,tropicos;usda, ,
Ceratonia siliqua,Ceratonia siliqua,,1,Accepted,Ceratonia siliqua,L.,Fabaceae,tropicos;usda, ,
Myrtus communis,Myrtus communis,,1,Accepted,Myrtus communis,L.,Myrtaceae,tropicos;usda, ,
Olea europaea,Olea europaea,,1,Accepted,Olea europaea,L.,Oleaceae,tropicos;usda, ,
Phillyrea media,Phillyrea media,,1,Synonym,Phillyrea latifolia subsp. media,(L.) P. Fourn.,Oleaceae,tropicos, ,
Quercus ilex,Quercus ilex,,1,Accepted,Quercus ilex,L.,Fagaceae,tropicos;usda, ,
Laurus nobilis,Laurus nobilis,,1,Accepted,Laurus nobilis,L.,Lauraceae,tropicos;usda, ,
Nerium oleander,Nerium oleander,,1,Accepted,Nerium oleander,L.,Apocynaceae,tropicos;usda, ,
Dacrydium beccarii,Dacrydium beccarii,,1,Synonym,Nageia beccarii,(Parl.) Gordon,Podocarpaceae,tropicos, ,
Eugenia caudata,Eugenia caudata,,1,Synonym,Syzygium urophyllum,(King) Merr.,Myrtaceae,tropicos, ,
Eugenia stapfiana,Eugenia stapfiana,,1,Synonym,Syzygium stapfianum,(King) I.M.Turner,Myrtaceae,tropicos, ,
Eurycoma longifolia,Eurycoma longifolia,,1,No opinion,,,,tropicos, ,
Ficus deltoidea,Ficus deltoidea,,1,Accepted,Ficus deltoidea,Jack,Moraceae,tropicos, ,
Podocarpus neriifolius,Podocarpus neriifolius,,1,Accepted,Podocarpus neriifolius,D. Don,Podocarpaceae,tropicos;usda, ,
Annona spraguei,Annona spraguei,,1,Accepted,Annona spraguei,Saff.,Annonaceae,tropicos, ,
Desmopsis panamensis,Desmopsis panamensis,,1,Accepted,Desmopsis panamensis,(B.L. Rob.) Saff.,Annonaceae,tropicos, ,
Guatteria dumentorum,Guatteria dumetorum,,0.98,Accepted,Guatteria dumetorum,R.E. Fr.,Annonaceae,tropicos, ,
Aspidosperma megalocarpon,Aspidosperma megalocarpon,,1,Accepted,Aspidosperma megalocarpon,Müll. Arg.,Apocynaceae,tropicos, ,
Jacaranda copaia,Jacaranda copaia,,1,Accepted,Jacaranda copaia,(Aubl.) D. Don,Bignoniaceae,tropicos, ,
Tabebuia rosea,Tabebuia rosea,,1,Accepted,Tabebuia rosea,(Bertol.) A. DC.,Bignoniaceae,tropicos, ,
Ochroma pyramidale,Ochroma pyramidale,,1,Accepted,Ochroma pyramidale,(Cav. ex Lam.) Urb.,Malvaceae,tropicos;usda, ,
Quararibea asterolepsis,Quararibea asterolepis,,0.99,Accepted,Quararibea asterolepis,Pittier,Malvaceae,tropicos, ,
Cordia alliodora,Cordia alliodora,,1,Accepted,Cordia alliodora,(Ruiz & Pav.) Oken,Boraginaceae,tropicos;usda, ,
Protium tenuifolium,Protium tenuifolium,,1,Accepted,Protium tenuifolium,(Engl.) Engl.,Burseraceae,tropicos, ,
Tetragastris panamensis,Tetragastris panamensis,,1,Accepted,Tetragastris panamensis,(Engl.) Kuntze,Burseraceae,tropicos, ,
Trattinickia aspera,Trattinnickia aspera,,0.99,Accepted,Trattinnickia aspera,(Standl.) Swart,Burseraceae,tropicos, ,
Prioria copaifera,Prioria copaifera,,1,Accepted,Prioria copaifera,Griseb.,Fabaceae,tropicos, ,
Swartzia simplex,Swartzia simplex,,1,Accepted,Swartzia simplex,Spreng.,Fabaceae,tropicos, ,
Tachigali versicolor,Tachigali versicolor,,1,Accepted,Tachigali versicolor,Standl. & L.O. Williams,Fabaceae,tropicos, ,
Hirtella triandra,Hirtella triandra,,1,Accepted,Hirtella triandra,Sw.,Chrysobalanaceae,tropicos;usda, ,
Alchornea costaricense,Alchornea costaricensis,,0.97,Accepted,Alchornea costaricensis,Pax & K. Hoffm.,Euphorbiaceae,tropicos, ,
Croton bilbergianus,Croton billbergianus,,0.99,Accepted,Croton billbergianus,Müll. Arg.,Euphorbiaceae,tropicos, ,
Hyeronima alcheornoides,Hieronyma alchorneoides,,0.88,Accepted,Hieronyma alchorneoides,Allemão,Phyllanthaceae,tropicos, ,
Sapium aucuparium,Sapium aucuparium,,1,Synonym,Sapium glandulosum,(L.) Morong,Euphorbiaceae,tropicos, ,
Casearia arborea,Casearia arborea,,1,Accepted,Casearia arborea,(Rich.) Urb.,Salicaceae,tropicos;usda, ,
Zuelania guidonia,Zuelania guidonia,,1,Accepted,Zuelania guidonia,(Sw.) Britton & Millsp.,Salicaceae,tropicos, ,
Calophyllum longifolium,Calophyllum longifolium,,1,Accepted,Calophyllum longifolium,Willd.,Calophyllaceae,tropicos, ,
Miconia argentea,Miconia argentea,,1,Accepted,Miconia argentea,(Sw.) DC.,Melastomataceae,tropicos, ,
Guarea multiflora,Guarea multiflora,,1,Synonym,Guarea guidonia,(L.) Sleumer,Meliaceae,tropicos, ,
Trichilia cipo,Trichilia cipo,,1,Accepted,Trichilia cipo,(A. Juss.) C. DC.,Meliaceae,tropicos, ,
Cecropia insignis,Cecropia insignis,,1,Accepted,Cecropia insignis,Liebm.,Urticaceae,tropicos, ,
Virola sebifera,Virola sebifera,,1,Accepted,Virola sebifera,Aubl.,Myristicaceae,tropicos;usda, ,
Alseis blackiana,Alseis blackiana,,1,Accepted,Alseis blackiana,Hemsl.,Rubiaceae,tropicos, ,
Macrocnemum glabrescens,Macrocnemum glabrescens,,1,Synonym,Macrocnemum roseum,(Ruiz & Pav.) Wedd.,Rubiaceae,tropicos, ,
Zanthoxylum ekmanii,Zanthoxylum ekmanii,,1,Accepted,Zanthoxylum ekmanii,(Urb.) Alain,Rutaceae,tropicos, ,
Zanthoxylum panamense,Zanthoxylum panamense,,1,Accepted,Zanthoxylum panamense,P. Wilson,Rutaceae,tropicos, ,
Cupania rufescens,Cupania rufescens,,1,Accepted,Cupania rufescens,Triana & Planch.,Sapindaceae,tropicos, ,
Cupania sylvatica,Cupania sylvatica,,1,Synonym,Cupania seemannii,Triana & Planch.,Sapindaceae,tropicos, ,
Chrysophyllum argenteum,Chrysophyllum argenteum,,1,Accepted,Chrysophyllum argenteum,Jacq.,Sapotaceae,tropicos;usda, ,
Pouteria reticulata,Pouteria reticulata,,1,Accepted,Pouteria reticulata,(Engl.) Eyma,Sapotaceae,tropicos, ,
